Rank,Nation,Gold,Silver,Bronze,Year
1,Norway,4,7,6,1924
2,Finland,4,4,3,1924
3,Austria,2,1,0,1924
4,Switzerland,2,0,1,1924
5,United States,1,2,1,1924
6,Great Britain,1,1,2,1924
7,Sweden,1,1,0,1924
8,Canada,1,0,0,1924
Mixed team,1,0,0,1,1924
10,France,0,0,3,1924
11,Belgium,0,0,1,1924
Totals (11 entries),17,16,17,50,1924
1,Norway,6,4,5,1928
2,United States,2,2,2,1928
3,Sweden,2,2,1,1928
4,Finland,2,1,1,1928
5,Canada,1,0,0,1928
France,1,0,0,1,1928
7,Austria,0,3,1,1928
8,Belgium,0,0,1,1928
Czechoslovakia,0,0,1,1,1928
Germany,0,0,1,1,1928
Great Britain,0,0,1,1,1928
Switzerland*,0,0,1,1,1928
Totals (12 entries),14,12,15,41,1928
1,United States,6,4,2,1932
2,Norway,3,4,3,1932
3,Sweden,1,2,0,1932
4,Canada,1,1,5,1932
5,Finland,1,1,1,1932
6,Austria,1,1,0,1932
7,France,1,0,0,1932
8,Switzerland,0,1,0,1932
9,Germany,0,0,2,1932
10,Hungary,0,0,1,1932
Totals (10 entries),14,14,14,42,1932
1,Norway,7,5,3,1936
2,Germany,3,3,0,1936
3,Sweden,2,2,3,1936
4,Finland,1,2,3,1936
5,Switzerland,1,2,0,1936
6,Austria,1,1,2,1936
7,Great Britain,1,1,1,1936
8,United States,1,0,3,1936
9,Canada,0,1,0,1936
10,France,0,0,1,1936
Hungary,0,0,1,1,1936
Totals (11 entries),17,17,17,51,1936
1,Norway,4,3,3,1948
Sweden,4,3,3,10,1948
3,Switzerland,3,4,3,1948
4,United States,3,4,2,1948
5,France,2,1,2,1948
6,Canada,2,0,1,1948
7,Austria,1,3,4,1948
8,Finland,1,3,2,1948
9,Belgium,1,1,0,1948
10,Italy,1,0,0,1948
11,Czechoslovakia,0,1,0,1948
Hungary,0,1,0,1,1948
13,Great Britain,0,0,2,1948
Totals (13 entries),22,24,22,68,1948
1,Norway,7,3,6,1952
2,United States,4,6,1,1952
3,Finland,3,4,2,1952
4,Germany,3,2,2,1952
5,Austria,2,4,2,1952
6,Canada,1,0,1,1952
Italy,1,0,1,2,1952
8,Great Britain,1,0,0,1952
9,Netherlands,0,3,0,1952
10,Sweden,0,0,4,1952
11,Switzerland,0,0,2,1952
12,France,0,0,1,1952
Hungary,0,0,1,1,1952
Totals (13 entries),22,22,23,67,1952
1,Soviet Union,7,3,6,1956
2,Austria,4,3,4,1956
3,Finland,3,3,1,1956
4,Switzerland,3,2,1,1956
5,Sweden,2,4,4,1956
6,United States,2,3,2,1956
7,Norway,2,1,1,1956
8,Italy,1,2,0,1956
9,United Team of Germany,1,0,1,1956
10,Canada,0,1,2,1956
11,Japan,0,1,0,1956
12,Hungary,0,0,1,1956
Poland,0,0,1,1,1956
Totals (13 entries),25,23,24,72,1956
1,Soviet Union,7,5,9,1960
2,United Team of Germany,4,3,1,1960
3,United States,3,4,3,1960
4,Norway,3,3,0,1960
5,Sweden,3,2,2,1960
6,Finland,2,3,3,1960
7,Canada,2,1,1,1960
8,Switzerland,2,0,0,1960
9,Austria,1,2,3,1960
10,France,1,0,2,1960
11,Netherlands,0,1,1,1960
Poland,0,1,1,2,1960
13,Czechoslovakia,0,1,0,1960
14,Italy,0,0,1,1960
Totals (14 entries),28,26,27,81,1960
1,Soviet Union,11,8,6,1964
2,Austria,4,5,3,1964
3,Norway,3,6,6,1964
4,Finland,3,4,3,1964
5,France,3,4,0,1964
6,United Team of Germany‡,3,3,3,1964
7,Sweden,3,3,1,1964
8,United States‡,1,2,4,1964
9,Canada‡,1,1,1,1964
10,Netherlands,1,1,0,1964
11,Great Britain,1,0,0,1964
12,Italy,0,1,3,1964
13,North Korea,0,1,0,1964
14,Czechoslovakia,0,0,1,1964
Totals (14 entries),34,39,31,104,1964
1,Norway,6,6,2,1968
2,Soviet Union,5,5,3,1968
3,France,4,3,2,1968
4,Italy,4,0,0,1968
5,Austria,3,4,4,1968
6,Netherlands,3,3,3,1968
7,Sweden,3,2,3,1968
8,West Germany,2,2,3,1968
9,United States,1,5,1,1968
10,East Germany,1,2,2,1968
Finland,1,2,2,5,1968
12,Czechoslovakia,1,2,1,1968
13,Canada,1,1,1,1968
14,Switzerland,0,2,4,1968
15,Romania,0,0,1,1968
Totals (15 entries),35,39,32,106,1968
1,Soviet Union,8,5,3,1972
2,East Germany,4,3,7,1972
3,Switzerland,4,3,3,1972
4,Netherlands,4,3,2,1972
5,United States,3,2,3,1972
6,West Germany,3,1,1,1972
7,Norway,2,5,5,1972
8,Italy,2,2,1,1972
9,Austria,1,2,2,1972
10,Sweden,1,1,2,1972
11,Japan,1,1,1,1972
12,Czechoslovakia,1,0,2,1972
13,Poland,1,0,0,1972
Spain,1,0,0,1,1972
15,Finland,0,4,1,1972
16,France,0,1,2,1972
17,Canada,0,1,0,1972
Totals (17 entries),36,34,35,105,1972
1,Soviet Union,13,6,8,1976
2,East Germany,7,5,7,1976
3,United States,3,3,4,1976
4,Norway,3,3,1,1976
5,West Germany,2,5,3,1976
6,Finland,2,4,1,1976
7,Austria,2,2,2,1976
8,Switzerland,1,3,1,1976
9,Netherlands,1,2,3,1976
10,Italy,1,2,1,1976
11,Canada,1,1,1,1976
12,Great Britain,1,0,0,1976
13,Czechoslovakia,0,1,0,1976
14,Liechtenstein,0,0,2,1976
Sweden,0,0,2,2,1976
16,France,0,0,1,1976
Totals (16 entries),37,37,37,111,1976
1,Soviet Union,10,6,6,1980
2,East Germany,9,7,7,1980
3,United States,6,4,2,1980
4,Austria,3,2,2,1980
5,Sweden,3,0,1,1980
6,Liechtenstein,2,2,0,1980
7,Finland,1,5,3,1980
