Year,Total,Nation
1924,17,Norway
1924,11,Finland
1924,4,Great Britain
1924,4,USA
1924,3,Austria
1924,3,France
1924,3,Switzerland
1924,2,Sweden
1924,1,Belgium
1924,1,Canada
1928,15,Norway
1928,6,USA
1928,5,Sweden
1928,4,Austria
1928,4,Finland
1928,1,Belgium
1928,1,Canada
1928,1,Czech Republic
1928,1,France
1928,1,Germany
1928,1,Great Britain
1928,1,Switzerland
1932,12,USA
1932,10,Norway
1932,7,Canada
1932,3,Finland
1932,3,Sweden
1932,2,Austria
1932,2,Germany
1932,1,France
1932,1,Hungary
1932,1,Switzerland
1936,15,Norway
1936,7,Sweden
1936,6,Finland
1936,6,Germany
1936,4,Austria
1936,4,USA
1936,3,Great Britain
1936,3,Switzerland
1936,1,Canada
1936,1,France
1936,1,Hungary
1948,10,Norway
1948,10,Sweden
1948,10,Switzerland
1948,9,USA
1948,8,Austria
1948,6,Finland
1948,5,France
1948,3,Canada
1948,2,Belgium
1948,2,Great Britain
1948,1,Czech Republic
1948,1,Hungary
1948,1,Italy
1952,16,Norway
1952,11,USA
1952,9,Finland
1952,8,Austria
1952,7,Germany
1952,4,Sweden
1952,3,Netherlands
1952,2,Canada
1952,2,Italy
1952,2,Switzerland
1952,1,France
1952,1,Great Britain
1952,1,Hungary
1956,16,Russia
1956,11,Austria
1956,10,Sweden
1956,7,Finland
1956,7,USA
1956,6,Switzerland
1956,4,Norway
1956,3,Canada
1956,3,Italy
1956,2,Germany
1956,1,Hungary
1956,1,Japan
1956,1,Poland
1960,21,Russia
1960,10,USA
1960,8,Finland
1960,8,Germany
1960,7,Sweden
1960,6,Austria
1960,6,Norway
1960,4,Canada
1960,3,France
1960,2,Netherlands
1960,2,Poland
1960,2,Switzerland
1960,1,Czech Republic
1960,1,Italy
1964,25,Russia
1964,15,Norway
1964,12,Austria
1964,10,Finland
1964,9,Germany
1964,7,France
1964,7,Sweden
1964,7,USA
1964,4,Italy
1964,3,Canada
1964,2,Netherlands
1964,1,Czech Republic
1964,1,Great Britain
1964,1,North Korea
1968,14,Norway
1968,13,Russia
1968,12,Germany
1968,11,Austria
1968,9,France
1968,9,Netherlands
1968,8,Sweden
1968,7,USA
1968,6,Switzerland
1968,5,Finland
1968,4,Czech Republic
1968,4,Italy
1968,3,Canada
1968,1,Romania
1972,19,Germany
1972,16,Russia
1972,12,Norway
1972,10,Switzerland
1972,9,Netherlands
1972,8,USA
1972,5,Austria
1972,5,Finland
1972,5,Italy
1972,4,Sweden
1972,3,Czech Republic
1972,3,France
1972,3,Japan
1972,1,Canada
1972,1,Poland
1972,1,Spain
1976,29,Germany
1976,27,Russia
1976,10,USA
1976,7,Finland
1976,7,Norway
1976,6,Austria
1976,6,Netherlands
1976,5,Switzerland
1976,4,Italy
1976,3,Canada
1976,2,Liechtenstein
1976,2,Sweden
1976,1,Czech Republic
1976,1,France
1976,1,Great Britain
1980,28,Germany
1980,22,Russia
1980,12,USA
1980,10,Norway
1980,9,Finland
1980,7,Austria
1980,5,Switzerland
1980,4,Liechtenstein
1980,4,Netherlands
1980,4,Sweden
1980,2,Canada
1980,2,Italy
1980,1,Bulgaria
1980,1,Czech Republic
1980,1,France
1980,1,Great Britain
1980,1,Hungary
1980,1,Japan
1984,28,Germany
1984,25,Russia
1984,13,Finland
1984,9,Norway
1984,8,Sweden
1984,8,USA
1984,6,Czech Republic
1984,5,Switzerland
1984,4,Canada
1984,3,France
1984,2,Italy
1984,2,Liechtenstein
1984,1,Austria
1984,1,Great Britain
1984,1,Japan
1984,1,Yugoslavia
1988,33,Germany
1988,29,Russia
1988,15,Switzerland
1988,10,Austria
1988,7,Finland
1988,7,Netherlands
1988,6,Sweden
1988,6,USA
1988,5,Canada
1988,5,Italy
1988,5,Norway
1988,3,Czech Republic
1988,3,Yugoslavia
1988,2,France
1988,1,Japan
1988,1,Liechtenstein
1992,26,Germany
1992,23,Russia
1992,21,Austria
1992,20,Norway
1992,14,Italy
1992,11,USA
